complaint_type,description,agency,location,status,source_dataset,text,category,glm52_pred,glm52_confidence,glm52_reason,glm52_raw_output,priority_score,priority_level,assigned_department
Bhopal waterlogging,"Bhopal receives 3 inches of rain, lake level rises: Low-lying areas flood, water enters homes; traffic craw.... Bhopal receives 3 inches of rain, lake level rises: Low-lying areas flood, water enters homes; traffic craw...  Bhaskar English",Unknown,"Bhopal, Madhya Pradesh",Unknown,India,"bhopal waterlogging. bhopal receives 3 inches of rain, lake level rises low-lying areas flood, water enters homes traffic craw.... bhopal receives 3 inches of rain, lake level rises low-lying areas flood, water enters homes traffic craw... bhaskar english",traffic_management,other,0.0,"Error code: 429 - [{'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 50.322450712s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '50s'}]}}]",,35,low,General Municipal Services
Jaipur overflowing garbage bins,Jaipur struggles with garbage piles after Diwali despite cleanliness claims. Jaipur struggles with garbage piles after Diwali despite cleanliness claims  The Times of India,Unknown,"Jaipur, Rajasthan",Unknown,India,jaipur overflowing garbage bins. jaipur struggles with garbage piles after diwali despite cleanliness claims. jaipur struggles with garbage piles after diwali despite cleanliness claims the times of india,waste_management,other,0.0,"Error code: 429 - [{'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 5.927447918s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '5s'}]}}]",,20,low,General Municipal Services
Mumbai encroachment complaint,MCZMA to state: Prevent Charkop land encroachment. MCZMA to state: Prevent Charkop land encroachment  The Times of India,Unknown,"Mumbai, Maharashtra",Unknown,India,mumbai encroachment complaint. mczma to state prevent charkop land encroachment. mczma to state prevent charkop land encroachment the times of india,other,other,0.0,"Error code: 429 - [{'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 21.669480576s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '21s'}]}}]",,20,low,General Municipal Services
Patna air pollution complaint,FIR against 10 for tampering with land registry records in Araria. FIR against 10 for tampering with land registry records in Araria  The Times of India,Unknown,"Patna, Bihar",Unknown,India,patna air pollution complaint. fir against 10 for tampering with land registry records in araria. fir against 10 for tampering with land registry records in araria the times of india,environment,other,0.0,"Error code: 429 - [{'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 37.397933577s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '37s'}]}}]",,20,low,General Municipal Services
Kanpur sewage overflow,95 Kanpur tannaries shut indefinitely. 95 Kanpur tannaries shut indefinitely  The Statesman,Unknown,"Kanpur, Uttar Pradesh",Unknown,India,kanpur sewage overflow. 95 kanpur tannaries shut indefinitely. 95 kanpur tannaries shut indefinitely the statesman,water_utilities,other,0.0,"Error code: 429 - [{'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 53.385791353s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '53s'}]}}]",,20,low,General Municipal Services
Indore air pollution complaint,Air in India's Cleanest City Is Hazardous to the Health of Children. Air in India's Cleanest City Is Hazardous to the Health of Children  Earth Journalism Network,Unknown,"Indore, Madhya Pradesh",Unknown,India,indore air pollution complaint. air in indias cleanest city is hazardous to the health of children. air in indias cleanest city is hazardous to the health of children earth journalism network,public_safety,other,0.0,"Error code: 429 - [{'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 8.73079805s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '8s'}]}}]",,35,low,General Municipal Services
Hubli road damage,Karnataka: Hubballi flyover deadline extended by six months. Karnataka: Hubballi flyover deadline extended by six months  Deccan Herald,Unknown,"Hubli, Karnataka",Unknown,India,hubli road damage. karnataka hubballi flyover deadline extended by six months. karnataka hubballi flyover deadline extended by six months deccan herald,road_infrastructure,other,0.0,"Error code: 429 - [{'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 23.777443718s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '23s'}]}}]",,20,low,General Municipal Services
Thane air pollution complaint,Noise and air pollution exploded this Diwali in Thane | Mumbai news. Noise and air pollution exploded this Diwali in Thane | Mumbai news  Hindustan Times,Unknown,"Thane, Maharashtra",Unknown,India,thane air pollution complaint. noise and air pollution exploded this diwali in thane  mumbai news. noise and air pollution exploded this diwali in thane  mumbai news hindustan times,noise,other,0.0,"Error code: 429 - [{'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 39.269476347s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '39s'}]}}]",,20,low,General Municipal Services
Surat sewage overflow,"Photo Essay: Poor Communities in Surat, India, Take Climate Resilience Into Their Own Hands. Photo Essay: Poor Communities in Surat, India, Take Climate Resilience Into Their Own Hands  TheCityFix",Unknown,"Surat, Gujarat",Unknown,India,"surat sewage overflow. photo essay poor communities in surat, india, take climate resilience into their own hands. photo essay poor communities in surat, india, take climate resilience into their own hands thecityfix",water_utilities,water_utilities,0.95,"The complaint explicitly mentions 'sewage overflow,' which is a direct issue related to water and wastewater utilities.","{
  ""category"": ""water_utilities"",
  ""confidence"": 0.95,
  ""reason"": ""The complaint explicitly mentions 'sewage overflow,' which is a direct issue related to water and wastewater utilities.""
}",75,high,Water Utility Department
Vadodara garbage complaint,Twist in farmer burn case as police claim self-immolation. Twist in farmer burn case as police claim self-immolation  The Times of India,Unknown,"Vadodara, Gujarat",Unknown,India,vadodara garbage complaint. twist in farmer burn case as police claim self-immolation. twist in farmer burn case as police claim self-immolation the times of india,waste_management,waste_management,0.95,"The complaint explicitly mentions 'vadodara garbage complaint', directly indicating an issue with waste management.","{
  ""category"": ""waste_management"",
  ""confidence"": 0.95,
  ""reason"": ""The complaint explicitly mentions 'vadodara garbage complaint', directly indicating an issue with waste management.""
}",50,medium,Sanitation Department
