complaint_type,description,agency,location,status,source_dataset,text,category
Fire,Major fire in residential building,Fire Department,Mumbai,Open,SyntheticQA,A massive fire has broken out near a hospital and people are trapped inside. Immediate rescue is required.,public_safety
Explosion,Gas explosion,Fire Department,Pune,Open,SyntheticQA,Gas explosion reported near a school with children evacuated.,public_safety
Building Collapse,Collapse,Disaster Response,Delhi,Open,SyntheticQA,Part of a building collapsed and workers are trapped.,public_safety
Hospital Access,Road blocked,Municipal Corporation,Hyderabad,Open,SyntheticQA,Road to hospital blocked by fallen debris delaying ambulances.,road_infrastructure
Electrical Fire,Transformer blast,Electricity Board,Chennai,Open,SyntheticQA,Transformer caught fire after explosion beside a school.,street_lighting
Tree Fall,Tree on power line,Municipal Corporation,Bengaluru,Open,SyntheticQA,"A tree fell on a power line and burst a water pipe, flooding the road.",other
Road Damage,Sinkhole,Municipal Corporation,Nagpur,Open,SyntheticQA,Broken sewer caused road collapse and traffic disruption.,other
Drainage,Flooding,Water Department,Surat,Open,SyntheticQA,Overflowing drain entered electrical substation causing outage.,other
Street Light,Pole collapse,Electricity Board,Lucknow,Open,SyntheticQA,Streetlight pole damaged a parked bus and blocked traffic.,other
Construction,Illegal work,Municipal Corporation,Jaipur,Open,SyntheticQA,Illegal construction blocked drainage and cracked the adjacent road.,other
Unknown,,Unknown,Unknown,Open,SyntheticQA,What time does the movie start?,other
Unknown,,Unknown,Unknown,Open,SyntheticQA,asdfghjkl qwerty zxcvbn,other
Unknown,,Unknown,Unknown,Open,SyntheticQA,😂😂🔥👍,other
Unknown,,Unknown,Unknown,Open,SyntheticQA,buy cheap followers now click here,other
Unknown,,Unknown,Unknown,Open,SyntheticQA,Lorem ipsum blah blah,other
