complaint_type,description,agency,location,status,source_dataset,text,category
Fire,Major fire in residential building,Fire Department,Mumbai,Open,SyntheticQA,fire. major fire in residential building,public_safety
Explosion,Gas explosion,Fire Department,Pune,Open,SyntheticQA,explosion. gas explosion,other
Building Collapse,Collapse,Disaster Response,Delhi,Open,SyntheticQA,building collapse. collapse,other
Hospital Access,Road blocked,Municipal Corporation,Hyderabad,Open,SyntheticQA,hospital access. road blocked,road_infrastructure
Electrical Fire,Transformer blast,Electricity Board,Chennai,Open,SyntheticQA,electrical fire. transformer blast,public_safety
Tree Fall,Tree on power line,Municipal Corporation,Bengaluru,Open,SyntheticQA,tree fall. tree on power line,environment
Road Damage,Sinkhole,Municipal Corporation,Nagpur,Open,SyntheticQA,road damage. sinkhole,road_infrastructure
Drainage,Flooding,Water Department,Surat,Open,SyntheticQA,drainage. flooding,water_utilities
Street Light,Pole collapse,Electricity Board,Lucknow,Open,SyntheticQA,street light. pole collapse,street_lighting
Construction,Illegal work,Municipal Corporation,Jaipur,Open,SyntheticQA,construction. illegal work,other
Complex Complaint,Long narrative,Municipal Corporation,Zone 1,Open,SyntheticQA,complex complaint. long narrative,other
Graffiti,Graffiti on wall,Sanitation,Queens,Open,SyntheticQA,graffiti. graffiti on wall,waste_management
Street Condition,Pothole,Transportation,Brooklyn,Open,SyntheticQA,street condition. pothole,road_infrastructure
Garbage,Overflowing bin,Sanitation,Mumbai,Open,SyntheticQA,garbage. overflowing bin,waste_management
Water Supply,Low pressure,Water Board,Pune,Open,SyntheticQA,water supply. low pressure,water_utilities
Street Light,Light not working,Electricity,Delhi,Open,SyntheticQA,street light. light not working,street_lighting
Traffic Signal,Signal failure,Traffic Police,Hyderabad,Open,SyntheticQA,traffic signal. signal failure,traffic_management
Noise,Construction noise,Municipal,Chennai,Open,SyntheticQA,noise. construction noise,noise
Drainage,Blocked drain,Water Board,Kolkata,Open,SyntheticQA,drainage. blocked drain,water_utilities
Road Damage,Cracked road,Transportation,Ahmedabad,Open,SyntheticQA,road damage. cracked road,road_infrastructure
Public Safety,Open manhole,Municipal,Surat,Open,SyntheticQA,public safety. open manhole,public_safety
General Complaint,Issue 11,Municipal Corporation,Area 11,Open,SyntheticQA,general complaint. issue 11,other
General Complaint,Issue 12,Municipal Corporation,Area 12,Open,SyntheticQA,general complaint. issue 12,other
General Complaint,Issue 13,Municipal Corporation,Area 13,Open,SyntheticQA,general complaint. issue 13,other
General Complaint,Issue 14,Municipal Corporation,Area 14,Open,SyntheticQA,general complaint. issue 14,other
General Complaint,Issue 15,Municipal Corporation,Area 15,Open,SyntheticQA,general complaint. issue 15,other
General Complaint,Issue 16,Municipal Corporation,Area 16,Open,SyntheticQA,general complaint. issue 16,other
General Complaint,Issue 17,Municipal Corporation,Area 17,Open,SyntheticQA,general complaint. issue 17,other
General Complaint,Issue 18,Municipal Corporation,Area 18,Open,SyntheticQA,general complaint. issue 18,other
General Complaint,Issue 19,Municipal Corporation,Area 19,Open,SyntheticQA,general complaint. issue 19,other
General Complaint,Issue 20,Municipal Corporation,Area 20,Open,SyntheticQA,general complaint. issue 20,other
General Complaint,Issue 21,Municipal Corporation,Area 21,Open,SyntheticQA,general complaint. issue 21,other
General Complaint,Issue 22,Municipal Corporation,Area 22,Open,SyntheticQA,general complaint. issue 22,other
General Complaint,Issue 23,Municipal Corporation,Area 23,Open,SyntheticQA,general complaint. issue 23,other
General Complaint,Issue 24,Municipal Corporation,Area 24,Open,SyntheticQA,general complaint. issue 24,other
General Complaint,Issue 25,Municipal Corporation,Area 25,Open,SyntheticQA,general complaint. issue 25,other
General Complaint,Issue 26,Municipal Corporation,Area 26,Open,SyntheticQA,general complaint. issue 26,other
General Complaint,Issue 27,Municipal Corporation,Area 27,Open,SyntheticQA,general complaint. issue 27,other
General Complaint,Issue 28,Municipal Corporation,Area 28,Open,SyntheticQA,general complaint. issue 28,other
General Complaint,Issue 29,Municipal Corporation,Area 29,Open,SyntheticQA,general complaint. issue 29,other
General Complaint,Issue 30,Municipal Corporation,Area 30,Open,SyntheticQA,general complaint. issue 30,other
