complaint_type,description,agency,location,status,source_dataset,text,category,glm52_pred,glm52_confidence,glm52_reason,glm52_raw_output,priority_score,priority_level
General Complaint,Issue 14,Municipal Corporation,Area 14,Open,SyntheticQA,general complaint. issue 14,other,other,0.95,The complaint contains generic text without specific details to map it to a defined category.,"{
  ""category"": ""other"",
  ""confidence"": 0.95,
  ""reason"": ""The complaint contains generic text without specific details to map it to a defined category.""
}",20,low
Garbage,Overflowing bin,Sanitation,Mumbai,Open,SyntheticQA,garbage. overflowing bin,waste_management,waste_management,0.98,"The complaint specifically mentions garbage and an overflowing bin, directly relating to waste management services.","{
  ""category"": ""waste_management"",
  ""confidence"": 0.98,
  ""reason"": ""The complaint specifically mentions garbage and an overflowing bin, directly relating to waste management services.""
}",50,medium
Street Light,Pole collapse,Electricity Board,Lucknow,Open,SyntheticQA,street light. pole collapse,street_lighting,street_lighting,0.95,"The complaint reports a collapsed street light pole, which directly relates to street lighting infrastructure.","{
  ""category"": ""street_lighting"",
  ""confidence"": 0.95,
  ""reason"": ""The complaint reports a collapsed street light pole, which directly relates to street lighting infrastructure.""
}",70,high
General Complaint,Issue 15,Municipal Corporation,Area 15,Open,SyntheticQA,general complaint. issue 15,other,other,0.95,The complaint is too vague and does not contain specific information matching any defined category.,"{
  ""category"": ""other"",
  ""confidence"": 0.95,
  ""reason"": ""The complaint is too vague and does not contain specific information matching any defined category.""
}",20,low
Electrical Fire,Transformer blast,Electricity Board,Chennai,Open,SyntheticQA,electrical fire. transformer blast,public_safety,public_safety,0.95,An electrical fire and transformer explosion pose an immediate hazardous emergency threatening public safety.,"{
  ""category"": ""public_safety"",
  ""confidence"": 0.95,
  ""reason"": ""An electrical fire and transformer explosion pose an immediate hazardous emergency threatening public safety.""
}",100,critical
General Complaint,Issue 30,Municipal Corporation,Area 30,Open,SyntheticQA,general complaint. issue 30,other,other,0.95,The complaint is generic and does not contain specific details relating to any predefined urban issue categories.,"{
  ""category"": ""other"",
  ""confidence"": 0.95,
  ""reason"": ""The complaint is generic and does not contain specific details relating to any predefined urban issue categories.""
}",20,low
Road Damage,Cracked road,Transportation,Ahmedabad,Open,SyntheticQA,road damage. cracked road,road_infrastructure,road_infrastructure,0.98,The complaint explicitly mentions road damage and a cracked road.,"{""category"": ""road_infrastructure"", ""confidence"": 0.98, ""reason"": ""The complaint explicitly mentions road damage and a cracked road.""}",65,high
General Complaint,Issue 29,Municipal Corporation,Area 29,Open,SyntheticQA,general complaint. issue 29,other,other,0.95,The complaint contains generic text without specific details to assign it to a functional category.,"{
  ""category"": ""other"",
  ""confidence"": 0.95,
  ""reason"": ""The complaint contains generic text without specific details to assign it to a functional category.""
}",20,low
General Complaint,Issue 19,Municipal Corporation,Area 19,Open,SyntheticQA,general complaint. issue 19,other,other,0.95,"The complaint contains no specific details regarding city services or infrastructure, so it falls under 'other'.","{
  ""category"": ""other"",
  ""confidence"": 0.95,
  ""reason"": ""The complaint contains no specific details regarding city services or infrastructure, so it falls under 'other'.""
}",20,low
Road Damage,Sinkhole,Municipal Corporation,Nagpur,Open,SyntheticQA,road damage. sinkhole,road_infrastructure,road_infrastructure,0.98,"The complaint explicitly reports road damage and a sinkhole, which directly relates to road infrastructure.","{
  ""category"": ""road_infrastructure"",
  ""confidence"": 0.98,
  ""reason"": ""The complaint explicitly reports road damage and a sinkhole, which directly relates to road infrastructure.""
}",65,high
General Complaint,Issue 16,Municipal Corporation,Area 16,Open,SyntheticQA,general complaint. issue 16,other,other,0.95,The complaint is too vague and lacks specific details to fit into a standard category.,"{""category"": ""other"", ""confidence"": 0.95, ""reason"": ""The complaint is too vague and lacks specific details to fit into a standard category.""}",20,low
Street Condition,Pothole,Transportation,Brooklyn,Open,SyntheticQA,street condition. pothole,road_infrastructure,road_infrastructure,0.98,"The complaint mentions a pothole and general street condition, which falls directly under road infrastructure maintenance.","{
  ""category"": ""road_infrastructure"",
  ""confidence"": 0.98,
  ""reason"": ""The complaint mentions a pothole and general street condition, which falls directly under road infrastructure maintenance.""
}",65,high
Noise,Construction noise,Municipal,Chennai,Open,SyntheticQA,noise. construction noise,noise,noise,0.99,The complaint explicitly mentions construction noise.,"{""category"": ""noise"", ""confidence"": 0.99, ""reason"": ""The complaint explicitly mentions construction noise.""}",30,low
Construction,Illegal work,Municipal Corporation,Jaipur,Open,SyntheticQA,construction. illegal work,other,other,0.9,"Unpermitted or illegal construction work falls under building code/zoning violations, which is not covered by the specific predefined categories.","{
  ""category"": ""other"",
  ""confidence"": 0.90,
  ""reason"": ""Unpermitted or illegal construction work falls under building code/zoning violations, which is not covered by the specific predefined categories.""
}",20,low
Street Light,Light not working,Electricity,Delhi,Open,SyntheticQA,street light. light not working,street_lighting,street_lighting,0.99,The complaint explicitly mentions a street light that is not working.,"{
  ""category"": ""street_lighting"",
  ""confidence"": 0.99,
  ""reason"": ""The complaint explicitly mentions a street light that is not working.""
}",55,medium
